BrandName,Deatils,Sizes,MRP,SellPrice,Discount,Category
latin quarters,dyed v-neck cotton womens regular dress - maroon,"S,M,L,XL,XX-Large",2499,1249,50% off,Westernwear
life,regular fit regular length cotton lycra womens jeans - ice,"26,28,30,32,34,36",1299,649,50% off,Westernwear
life,solid cotton blend wide neck womens regular top - mid stone,"Large,Medium,X-Large,X-Small",1299,649,50% off,Westernwear
life,printed jersey round neck womens t-shirt - natural,"Large,Medium,Small,X-Large,X-Small",599,299,50% off,Westernwear
rare,solid polyester blend womens regular top - peach,"Large,Medium,Small,X-Large",1499,674,55% off,Westernwear
life,womens cotton lycra solid capri tights - black,"28,30,32",799,399,50% off,Westernwear
cover story,solid cotton round neck womens regular dress - pink,"Large,Medium,Small,X-Large,X-Small",2890,1734,40% off,Westernwear
fratini,regular fit regular length cotton blend womens jeans - mid stone,"26,28,30,32,34,36",1299,649,50% off,Westernwear
fratini,solid v-neck jersey womens t-shirt - red,"Large,Medium,Small,X-Large,XX-Large",599,299,50% off,Westernwear
life,skinny fit regular length cotton lycra womens jeans - mid stone,"26,28,30,32,34,36",999,499,50% off,Westernwear
rare,floral rayon round neck womens regular top - black,"Large,Medium,Small,X-Large",1499,599,60% off,Westernwear
infuse,floral v neck rayon womens dress - light blue,"Large,Medium,Small,X-Large,X-Small,XX-Large",1299,649,50% off,Westernwear
infuse,embroidered cotton round neck womens regular fit t-shirt - purple,"Large,Medium,Small,X-Small",499,199,60% off,Westernwear
kraus,mom fit ankle length cotton womens jeans - black,"28,30,32,34,36",1795,1615,10% off,Westernwear
kraus,wide fit ankle length cotton womens jeans - blue,"28,30,32,34,36",1695,1525,10% off,Westernwear
allen solly,solid polyester regular fit womens trousers - black,"26,28,30,32,34,36",1999,1599,20% off,Westernwear
zink london,tie and dye polyester square neck womens dress - pink,"X-Large,XX-Large",2499,1499,40% off,Westernwear
latin quarters,solid polyester womens casual wear jacket - gold,"S,M",2999,1499,50% off,Westernwear
kraus,heavy wash cotton slim fit womens jeans - light blue,"28,30,32,34,36",1895,1705,10% off,Westernwear
van heusen,solid polyester round neck womens dress - yellow,"Large,Medium,Small,X-Large,X-Small",3499,1499,57% off,Westernwear
zink london,floral polyester round neck womens straight top - pink,"Large,Medium,Small,X-Large",1499,899,40% off,Westernwear
and,solid round neck polyester womens straight top - black,"8,10,12,14",2699,2159,20% off,Westernwear
and,floral square neck polyester womens flared gown - sage,"8,10,12,14,16",3499,2799,20% off,Westernwear
zink london,solid sweetheart neck viscose blend womens a-line dress - yellow,"Large,Medium,Small,X-Large,X-Small,XX-Large",2499,1499,40% off,Westernwear
